name	id	date	age	sex	user	strain_number
dgrp101_01_1wf_9100_20s_180614	1	180614	1	f	Laurent	dgrp101
dgrp101_02_1wf_9100_20s_180614	2	180614	1	f	Laurent	dgrp101
dgrp101_03_1wf_9100_20s_180614	3	180614	1	f	Laurent	dgrp101
dgrp101_04_1wf_9100_20s_180614	4	180614	1	f	Laurent	dgrp101
dgrp101_05_1wf_9100_20s_180614	5	180614	1	f	Laurent	dgrp101
dgrp101_06_1wf_9100_20s_180614	6	180614	1	f	Laurent	dgrp101
dgrp101_07_1wf_9100_20s_180614	7	180614	1	f	Laurent	dgrp101
dgrp101_08_1wf_9100_20s_180614	8	180614	1	f	Laurent	dgrp101
dgrp105_01_1wf_9100_20s_180614	1	180614	1	f	Laurent	dgrp105
dgrp105_02_1wf_9100_20s_180614	2	180614	1	f	Laurent	dgrp105
dgrp105_03_1wf_9100_20s_180614	3	180614	1	f	Laurent	dgrp105
dgrp105_04_1wf_9100_20s_180614	4	180614	1	f	Laurent	dgrp105
dgrp105_05_1wf_9100_20s_180614	5	180614	1	f	Laurent	dgrp105
dgrp105_06_1wf_9100_20s_180614	6	180614	1	f	Laurent	dgrp105
dgrp105_07_1wf_9100_20s_180614	7	180614	1	f	Laurent	dgrp105
dgrp105_08_1wf_9100_20s_180614	8	180614	1	f	Laurent	dgrp105
dgrp105_09_1wf_9100_20s_180614	9	180614	1	f	Laurent	dgrp105
dgrp105_10_1wf_9100_20s_180614	10	180614	1	f	Laurent	dgrp105
dgrp105_11_1wf_9100_20s_180614	11	180614	1	f	Laurent	dgrp105
dgrp105_12_1wf_9100_20s_180614	12	180614	1	f	Laurent	dgrp105
dgrp109_01_1wf_9100_20s_040614	1	040614	1	f	Laurent	dgrp109
dgrp109_02_1wf_9100_20s_040614	2	040614	1	f	Laurent	dgrp109
dgrp109_03_1wf_9100_20s_040614	3	040614	1	f	Laurent	dgrp109
dgrp109_04_1wf_9100_20s_040614	4	040614	1	f	Laurent	dgrp109
dgrp109_05_1wf_9100_20s_040614	5	040614	1	f	Laurent	dgrp109
dgrp109_06_1wf_9100_20s_040614	6	040614	1	f	Laurent	dgrp109
dgrp109_07_1wf_9100_20s_040614	7	040614	1	f	Laurent	dgrp109
dgrp109_08_1wf_9100_20s_040614	8	040614	1	f	Laurent	dgrp109
dgrp109_09_1wf_9100_20s_040614	9	040614	1	f	Laurent	dgrp109
dgrp109_10_1wf_9100_20s_040614	10	040614	1	f	Laurent	dgrp109
dgrp109_11_1wf_9100_20s_040614	11	040614	1	f	Laurent	dgrp109
dgrp129_01_1wf_9100_20s_190614	1	190614	1	f	Laurent	dgrp129
dgrp129_02_1wf_9100_20s_190614	2	190614	1	f	Laurent	dgrp129
dgrp129_03_1wf_9100_20s_190614	3	190614	1	f	Laurent	dgrp129
dgrp129_04_1wf_9100_20s_190614	4	190614	1	f	Laurent	dgrp129
dgrp129_05_1wf_9100_20s_190614	5	190614	1	f	Laurent	dgrp129
dgrp129_06_1wf_9100_20s_190614	6	190614	1	f	Laurent	dgrp129
dgrp129_07_1wf_9100_20s_190614	7	190614	1	f	Laurent	dgrp129
dgrp129_08_1wf_9100_20s_190614	8	190614	1	f	Laurent	dgrp129
dgrp129_09_1wf_9100_20s_190614	9	190614	1	f	Laurent	dgrp129
dgrp129_10_1wf_9100_20s_190614	10	190614	1	f	Laurent	dgrp129
dgrp129_11_1wf_9100_20s_190614	11	190614	1	f	Laurent	dgrp129
dgrp136_01_1wf_9100_20s_060614	1	060614	1	f	Laurent	dgrp136
dgrp136_02_1wf_9100_20s_060614	2	060614	1	f	Laurent	dgrp136
dgrp136_03_1wf_9100_20s_060614	3	060614	1	f	Laurent	dgrp136
dgrp136_04_1wf_9100_20s_060614	4	060614	1	f	Laurent	dgrp136
dgrp136_05_1wf_9100_20s_060614	5	060614	1	f	Laurent	dgrp136
