age	phenotype_name	date	yeardate	value.correction
1	DiastolicIntervals_Mean	200215	150220	0.000999518694933713
1	DiastolicIntervals_Mean	240215	150224	-0.088099971178981
1	DiastolicIntervals_Mean	250215	150225	0.00656061810520399
1	DiastolicIntervals_Mean	260215	150226	-0.0571323712577807
1	DiastolicIntervals_Mean	270115	150127	-0.0444458713665445
1	DiastolicIntervals_Mean	280115	150128	0.0383402733081112
1	DiastolicIntervals_Mean	21214	141202	-0.0184077602910935
1	DiastolicIntervals_Mean	31214	141203	-0.00987312781863013
1	DiastolicIntervals_Mean	40614	140604	0
1	DiastolicIntervals_Mean	41214	141204	-0.0810078111977858
1	DiastolicIntervals_Mean	50614	140605	-0.00972166085788973
1	DiastolicIntervals_Mean	60614	140606	0.0427972146415402
1	DiastolicIntervals_Mean	100614	140610	-0.0795062660505727
1	DiastolicIntervals_Mean	101214	141210	0.0726769263414082
1	DiastolicIntervals_Mean	111214	141211	0.155150394949645
1	DiastolicIntervals_Mean	190614	140619	0.127445920358159
1	DiastolicIntervals_Mean	230614	140623	0.0980655573924077
1	DiastolicIntervals_Mean	180614	140618	0.125367231532577
1	DiastolicIntervals_Mean	250614	140625	0.151793455998713
1	DiastolicIntervals_Mean	10715	150701	0.0113412547551817
1	DiastolicIntervals_Mean	20715	150702	0.183399020933747
1	DiastolicIntervals_Mean	60416	160406	0.0105815702430692
1	DiastolicIntervals_Mean	80316	160308	0.103665760414575
1	DiastolicIntervals_Mean	90316	160309	0.0344725453499318
1	DiastolicIntervals_Mean	90715	150709	0.000725983438943061
1	DiastolicIntervals_Mean	100715	150710	0.0896942733448347
1	DiastolicIntervals_Mean	140316	160314	0.0589435215166347
1	DiastolicIntervals_Mean	150316	160315	0.051238283091813
1	DiastolicIntervals_Mean	220316	160322	0.0232447550207422
1	DiastolicIntervals_Mean	230316	160323	0.0543494854730723
1	DiastolicIntervals_Mean	300316	160330	0.083953398812678
1	DiastolicIntervals_Mean	300615	150630	0.0759427922187198
1	DiastolicIntervals_Mean	260115	150126	0.0313451510259377
1	DiastolicIntervals_Mean	120416	160412	-0.088668337466407
1	DiastolicIntervals_Mean	160316	160316	0.0888367098278632
1	DiastolicIntervals_Mean	170316	160317	0.145694662493787
1	DiastolicIntervals_Mean	161215	151216	0.00564684357693238
1	DiastolicIntervals_Mean	171215	151217	-0.0722890340588895
1	DiastolicIntervals_Mean	181215	151218	-0.117037284694353
1	DiastolicIntervals_Median	200215	150220	-0.014387766520184
